destination_id,destination_slug,destination_name,hotel_id,hotel_name,location,image,rating,review_count,price_per_night
71,phan-thiet,Phan Thiết,154,The Cliff Resort & Residences,"Phú Hài, Phan Thiết",/img/hotels/the-cliff-phan-thiet.jpg,4.6,1150,2600000
70,phong-nha,Phong Nha,153,Phong Nha Lake House Resort,"Hưng Trạch, Bố Trạch",/img/hotels/phong-nha-lake-house.jpg,4.4,560,1300000
35,phu-quoc,Phú Quốc,93,InterContinental Phú Quốc,"Bãi Trường, Phú Quốc",/img/hotels/intercontinental.jpg,4.8,1340,6500000
75,pleiku,Pleiku,158,HAGL Hotel Pleiku,"Phù Đổng, Pleiku",/img/hotels/hagl-pleiku.jpg,4.2,470,1200000
64,quy-nhon,Quy Nhơn,143,Avani Quy Nhơn Resort,"Nhơn Lý, Quy Nhơn",/img/hotels/avani.jpg,4.5,480,2600000
37,sapa,Sapa,95,Hotel de la Coupole Sapa,"Hoàng Liên, Sapa",/img/hotels/coupole.jpg,4.6,670,2800000
29,tp-ho-chi-minh,TP. Hồ Chí Minh,77,Caravelle Saigon,"19 Lam Sơn, District 1",/img/hotels/caravelle.jpg,4.8,2100,4200000
29,tp-ho-chi-minh,TP. Hồ Chí Minh,78,Liberty Central Saigon Riverside,"17 Tôn Đức Thắng, District 1",/img/hotels/liberty.jpg,4.5,1680,2400000
73,tuy-hoa,Tuy Hòa,156,Sala Tuy Hòa Beach Hotel,"Độc Lập, Tuy Hòa",/img/hotels/sala-tuy-hoa.jpg,4.4,620,1600000
77,tay-ninh,Tây Ninh,160,Melia Vinpearl Tây Ninh,Trung tâm TP. Tây Ninh,/img/hotels/melia-tay-ninh.jpg,4.4,680,1700000
62,vung-tau,Vũng Tàu,141,Imperial Hotel Vũng Tàu,"159 Thùy Vân, Vũng Tàu",/img/hotels/imperial.jpg,4.4,720,2200000
61,vinh-ha-long,Vịnh Hạ Long,137,Paradise Suites Hạ Long,"Đảo Tuần Châu, Hạ Long",/img/hotels/paradise-suites.jpg,4.5,640,2400000
34,da-lat,Đà Lạt,91,Ana Mandara Villas Đà Lạt,"Trại Mát, Đà Lạt",/img/hotels/anamandara.jpg,4.7,980,3500000
34,da-lat,Đà Lạt,92,Swiss-Belresort Tuyen Lam,"Tuyên Lâm, Đà Lạt",/img/hotels/swissbel.jpg,4.4,870,1900000
30,da-nang,Đà Nẵng,86,A La Carte Da Nang Beach,"200 Võ Nguyên Giáp, Sơn Trà",/img/hotels/alacarte.jpg,4.5,1200,2200000
30,da-nang,Đà Nẵng,85,Furama Resort Đà Nẵng,"68 Hoàng Sa, Sơn Trà",/img/hotels/furama.jpg,4.8,1950,4800000
69,dong-hoi,Đồng Hới,152,Melia Vinpearl Quảng Bình,"Quách Xuân Kỳ, Đồng Hới",/img/hotels/melia-quang-binh.jpg,4.5,790,2100000
